"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Regulation Of Platelet Activation (GO:0010543)","7/28",0.000729224817164937,0.0127156287214187,0,0,5.62134764460346,40.6059648198473,"SELP;THBD;PDGFRA;C1QTNF1;NRG1;GP5;TLR4","BP","Down",0.25,0.0127156287214187,7
"Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)","36/364",0.000744397625715583,0.0129152988061654,0,0,1.86928038701875,13.4643055408138,"CRP;CITED2;EPB41L4B;C1QTNF1;HMGN5;MYC;CCL3;PPARGC1A;FGF23;SLC38A2;NKX3-1;EGR1;IL33;MAP2K1;GCGR;EPHX2;PDE2A;WNT7A;LILRB1;ANK3;IGF1;INHBA;KLF4;NR0B2;IL6;ID2;IL1B;HAND2;AGTR1;SPRY2;BMPR1B;TLR4;TLR3;MYD88;PF4;RBMS3","BP","Down",0.0989010989010989,0.0129152988061654,36
"Regulation Of Interleukin-1 Beta Production (GO:0032651)","13/84",0.000795051083092598,0.013725508747917,0,0,3.09621035565913,22.0979759022233,"EGR1;ORM1;APOA1;IGF1;LILRA2;MEFV;ORM2;IL6;NLRP12;CCL3;NLRP3;TLR4;MYD88","BP","Down",0.154761904761905,0.013725508747917,13
"Negative Regulation Of Biomineral Tissue Development (GO:0070168)","6/21",0.000816437896031025,0.0139558596021067,0,0,6.74173369079535,47.9374999549294,"CCR1;SRGN;ECM1;HEY2;CCL3;FGF23","BP","Down",0.285714285714286,0.0139558596021067,6
"Positive Regulation Of T Cell Cytokine Production (GO:0002726)","6/21",0.000816437896031025,0.0139558596021067,0,0,6.74173369079535,47.9374999549294,"IL6;RSAD2;CD81;IL1B;NLRP3;IL18R1","BP","Down",0.285714285714286,0.0139558596021067,6
"Regulation Of p38MAPK Cascade (GO:1900744)","8/37",0.000874880573089025,0.0148815470030339,0,0,4.65433890037971,32.773169768675,"DUSP10;GADD45B;DUSP1;HAND2;IL1B;SORD;GDF6;GADD45G","BP","Down",0.216216216216216,0.0148815470030339,8
"Calcium-Mediated Signaling (GO:0019722)","13/85",0.000891180807922699,0.0150848653828867,0,0,3.05304506394884,21.4414232056903,"P2RY12;LRRK2;FPR2;SELE;SLC8A1;SELP;RCAN1;FCGR3A;EDNRB;AGTR1;CCL3;TNFSF11;NMUR1","BP","Down",0.152941176470588,0.0150848653828867,13
"Response To Hydrogen Peroxide (GO:0042542)","9/46",0.000911987692656141,0.0153621227840622,0,0,4.10592850915432,28.7410235345358,"FABP1;IL6;CAT;HP;HBB;HMOX1;HBA1;FXN;RHOB","BP","Down",0.195652173913043,0.0153621227840622,9
"Negative Regulation Of Leukocyte Migration (GO:0002686)","4/9",0.000998657191058148,0.0165805763300085,0,0,13.4665477252453,93.0417112913167,"CD200R1;CD300A;HMOX1;BMP5","BP","Down",0.444444444444444,0.0165805763300085,4
"Negative Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900747)","4/9",0.000998657191058148,0.0165805763300085,0,0,13.4665477252453,93.0417112913167,"SORD;SPRY2;NRG1;DCN","BP","Down",0.444444444444444,0.0165805763300085,4
"Primary Alcohol Catabolic Process (GO:0034310)","4/9",0.000998657191058148,0.0165805763300085,0,0,13.4665477252453,93.0417112913167,"SULT1A1;SULT1E1;HAO1;SULT2A1","BP","Down",0.444444444444444,0.0165805763300085,4
"Positive Regulation Of Metabolic Process (GO:0009893)","15/108",0.00104196292020835,0.016863396005148,0,0,2.72914850334205,18.7401046270784,"KDM6B;ACSL1;G0S2;ADRB1;OXT;ADRB2;DBH;GADD45G;JCHAIN;GATM;CPT2;IRF4;ALPL;TRPM8;PPARGC1A","BP","Down",0.138888888888889,0.016863396005148,15
"Response To Tumor Necrosis Factor (GO:0034612)","15/108",0.00104196292020835,0.016863396005148,0,0,2.72914850334205,18.7401046270784,"CCL23;GCH1;LRRK2;GATA3;SELE;ZFP36L1;CRHBP;ZFP36;SFRP1;CCL4;CCL3;CCL2;HAS2;GBP1;NKX3-1","BP","Down",0.138888888888889,0.016863396005148,15
"Positive Regulation Of Interleukin-6 Production (GO:0032755)","12/76",0.00104204676415607,0.016863396005148,0,0,3.16896900269542,21.7599425964803,"IL33;SIGLEC16;IL6;TSLP;EHHADH;IL1B;LILRA2;TLR4;SCIMP;TLR3;MYD88;MBL2","BP","Down",0.157894736842105,0.016863396005148,12
"Defense Response To Protozoan (GO:0042832)","5/15",0.00104288606758084,0.016863396005148,0,0,8.421875,57.8226006646981,"GBP7;IRF4;GBP1;MYD88;PF4","BP","Down",0.333333333333333,0.016863396005148,5
"Negative Regulation Of Protein Processing (GO:0010955)","5/15",0.00104288606758084,0.016863396005148,0,0,8.421875,57.8226006646981,"LRRK2;SERPINE1;SERPINF2;GAS1;THBS1","BP","Down",0.333333333333333,0.016863396005148,5
"Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036)","8/38",0.001054252326316,0.016863396005148,0,0,4.498955535661,30.839995841197,"FGB;IL10;FGA;SERPINE1;FGG;NDNF;GATA3;TEK","BP","Down",0.210526315789474,0.016863396005148,8
"Response To Transforming Growth Factor Beta (GO:0071559)","8/38",0.001054252326316,0.016863396005148,0,0,4.498955535661,30.839995841197,"SFRP1;FNDC4;PDE2A;WNT7A;SOX6;WNT2;MXRA5;ZFP36L1","BP","Down",0.210526315789474,0.016863396005148,8
"Cellular Response To BMP Stimulus (GO:0071773)","11/66",0.0010545697213594,0.016863396005148,0,0,3.37881508078995,23.1605016811612,"TGFBR3;BMP10;SFRP1;AMHR2;HIVEP1;GDF2;SLC39A5;INHBA;GDF6;BMPR1B;INHBC","BP","Down",0.166666666666667,0.016863396005148,11
"Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)","9/47",0.00107251916781926,0.0170717500565727,0,0,3.99766553480475,27.3350176631183,"IL10;JUN;IL6;NR4A3;ID2;SERPINF2;HMOX1;IGF1;THBS1","BP","Down",0.191489361702128,0.0170717500565727,9
"Negative Regulation Of Myeloid Leukocyte Differentiation (GO:0002762)","7/30",0.00113625353214416,0.0179704401653913,0,0,5.13199035544839,34.7949911112693,"APCS;MYC;CCL3;INHBA;TLR4;TLR3;C1QC","BP","Down",0.233333333333333,0.0179704401653913,7
"MAPK Cascade (GO:0000165)","14/98",0.00114500535099053,0.0179704401653913,0,0,2.81893189318932,19.0907820426908,"MAP2K3;DUSP5;MAP2K1;LRRK2;IGF1;DUSP6;ZFP36L1;ZFP36;MYC;IL1B;CCL3;CCL2;MBL2;PTPN3","BP","Down",0.142857142857143,0.0179704401653913,14
"Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162)","14/98",0.00114500535099053,0.0179704401653913,0,0,2.81893189318932,19.0907820426908,"KDM6B;ACSL1;G0S2;ADRB1;OXT;ADRB2;DBH;GADD45G;GATM;CPT2;IRF4;ALPL;TRPM8;PPARGC1A","BP","Down",0.142857142857143,0.0179704401653913,14
"Positive Regulation Of Cell Population Proliferation (GO:0008284)","44/483",0.00114969386648901,0.0179704401653913,0,0,1.70934277929615,11.5692756330963,"CSF1R;BMP10;VIPR1;CTF1;TNXB;MEGF10;FLT3;CD81;C5AR1;THBS1;HMGN5;SERTAD1;MYC;NAMPT;NTF3;CXCR2;PIM1;HMOX1;HAS2;FGF23;WNT2;NKX3-1;PDGFRA;CR1;TSLP;SERPINF2;GLP2R;NRG1;LIFR;IGF1;AVPR1A;BMP5;FOSL1;TGFBR3;SFRP1;IL6;GAREM1;NR4A3;ID2;IL1B;IL6ST;ZFPM2;FXN;TSPYL5","BP","Down",0.0910973084886128,0.0179704401653913,44
"Monoatomic Cation Homeostasis (GO:0055080)","12/77",0.00117243618634311,0.0181622927080829,0,0,3.1200497615592,21.0561908558018,"TRPV6;TFR2;CYP4F2;CYP4A11;SLC39A5;HMOX1;ALPL;ANK3;SLC39A14;HAMP;SLC8A1;SLC9B2","BP","Down",0.155844155844156,0.0181622927080829,12
"Neutrophil Migration (GO:1990266)","12/77",0.00117243618634311,0.0181622927080829,0,0,3.1200497615592,21.0561908558018,"CCL23;CXCR1;CCL4;CXCR2;CCL3;SAA1;CCL2;S100A12;PPBP;CXCL2;S100A8;PF4","BP","Down",0.155844155844156,0.0181622927080829,12
"Regulation Of MAPK Cascade (GO:0043408)","23/204",0.00118204565671544,0.0182297707946782,0,0,2.1556085870993,14.5298985086037,"RET;DUSP5;CSF1R;DUSP2;MAP2K1;DUSP1;CD81;FLT3;PELI2;IGF1;ADRB2;ADRA1B;ADRA2B;DUSP6;ART4;TGFBR3;IL6;CD4;IL1B;TEK;EPHB1;EPHA2;AVPI1","BP","Down",0.112745098039216,0.0182297707946782,23
"Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)","8/39",0.00126182419360746,0.0193740263354774,0,0,4.35359690414994,29.0611162638098,"PTGIS;AGXT2;IL1B;HBB;PTGS2;KLF4;TLR4;ASS1","BP","Down",0.205128205128205,0.0193740263354774,8
"Negative Regulation Of Multicellular Organismal Process (GO:0051241)","25/231",0.00133093595351299,0.0203451443114101,0,0,2.05968667255075,13.6389832766567,"PON1;TACSTD2;ADM;GATA3;CRHBP;RPS6KA6;DUSP10;ACVR1C;WNT11;NKX3-1;IL10;SRGN;GBP7;APOA1;APOC3;MCC;BMP5;SFRP1;NLRP12;IL1B;ID1;SPRY2;FCGR2B;TLR4;IL18R1","BP","Down",0.108225108225108,0.0203451443114101,25
"Receptor-Mediated Endocytosis (GO:0006898)","16/122",0.00134428936817672,0.0204591408226895,0,0,2.55460469231162,16.8907645966259,"CLEC4M;CD81;STAB2;ADM;LILRB1;ADRB2;CLEC9A;SORL1;MARCO;CXCR1;TFR2;MRC1;STAB1;CXCR2;FCGR2B;LDLR","BP","Down",0.131147540983607,0.0204591408226895,16
"Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042)","6/23",0.00137892100878741,0.0208037213064883,0,0,5.94795773537297,39.1759497998612,"FGB;FGA;FGG;SERPINE1;HMOX1;BMP5","BP","Down",0.260869565217391,0.0208037213064883,6
"Regulation Of Cardiac Muscle Hypertrophy (GO:0010611)","6/23",0.00137892100878741,0.0208037213064883,0,0,5.94795773537297,39.1759497998612,"BMP10;MLIP;NR4A3;HAND2;IGF1;IL6ST","BP","Down",0.260869565217391,0.0208037213064883,6
"Positive Regulation Of Cholesterol Transport (GO:0032376)","7/31",0.00139726852083189,0.0208988007210632,0,0,4.91789654144305,32.3264946136015,"CETP;SCP2;PON1;LIPG;APOA1;ABCA8;CYP8B1","BP","Down",0.225806451612903,0.0208988007210632,7
"Triglyceride Homeostasis (GO:0070328)","7/31",0.00139726852083189,0.0208988007210632,0,0,4.91789654144305,32.3264946136015,"CETP;GCKR;LIPC;ANGPTL3;APOA1;APOC3;APOA5","BP","Down",0.225806451612903,0.0208988007210632,7
"Regulation Of Cold-Induced Thermogenesis (GO:0120161)","18/146",0.00143179573723986,0.0209230313374628,0,0,2.38147865853659,15.5958890293261,"KDM6B;ACSL1;G0S2;ADRB1;OXT;ADRB2;DBH;GADD45G;GATM;ACADL;CPT2;IRF4;ID1;ALPL;TRPM8;PPARGC1A;TLR4;IL18R1","BP","Down",0.123287671232877,0.0209230313374628,18
"acetyl-CoA Metabolic Process (GO:0006084)","5/16",0.00144712608674094,0.0209230313374628,0,0,7.65584415584416,50.0552542110381,"TDO2;HMGCS2;MLYCD;ACACB;ACAT1","BP","Down",0.3125,0.0209230313374628,5
"Activin Receptor Signaling Pathway (GO:0032924)","5/16",0.00144712608674094,0.0209230313374628,0,0,7.65584415584416,50.0552542110381,"BMP10;ACVR1C;GDF2;INHBA;GDF6","BP","Down",0.3125,0.0209230313374628,5
"Positive Regulation Of Cardiac Muscle Tissue Growth (GO:0055023)","5/16",0.00144712608674094,0.0209230313374628,0,0,7.65584415584416,50.0552542110381,"TGFBR3;BMP10;PIM1;IGF1;ZFPM2","BP","Down",0.3125,0.0209230313374628,5
"Positive Regulation Of Homotypic Cell-Cell Adhesion (GO:0034112)","5/16",0.00144712608674094,0.0209230313374628,0,0,7.65584415584416,50.0552542110381,"IL6;MMRN1;TNFSF11;GP6;IL6ST","BP","Down",0.3125,0.0209230313374628,5
"Positive Regulation Of Muscle Hypertrophy (GO:0014742)","5/16",0.00144712608674094,0.0209230313374628,0,0,7.65584415584416,50.0552542110381,"BMP10;NR4A3;HAND2;IGF1;IL6ST","BP","Down",0.3125,0.0209230313374628,5
"Regulation Of B Cell Receptor Signaling Pathway (GO:0050855)","5/16",0.00144712608674094,0.0209230313374628,0,0,7.65584415584416,50.0552542110381,"CD300A;CD81;PRKCB;NFAM1;FCGR2B","BP","Down",0.3125,0.0209230313374628,5
"Regulation Of Fatty Acid Oxidation (GO:0046320)","5/16",0.00144712608674094,0.0209230313374628,0,0,7.65584415584416,50.0552542110381,"NR4A3;ACADL;PDK4;MLYCD;PPARGC1A","BP","Down",0.3125,0.0209230313374628,5
"Organonitrogen Compound Biosynthetic Process (GO:1901566)","16/123",0.0014664697496335,0.0211147304200342,0,0,2.53059504647616,16.5118727794483,"ALAS2;GSTM1;ALAS1;GCH1;APOA1;LCAT;INHBA;SGMS2;FMO3;GPHN;ASS1;CPS1;DMD;PLPP3;MFSD2A;OTC","BP","Down",0.130081300813008,0.0211147304200342,16
"Negative Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901991)","8/40",0.00150064619836356,0.0215175301996759,0,0,4.21732318710833,27.4204426799346,"WEE1;DCUN1D3;FHL1;CCL2;INHBA;KLF4;MYO16;ZFP36L1","BP","Down",0.2,0.0215175301996759,8
"Regulation Of Endopeptidase Activity (GO:0052548)","11/69",0.00153581851741719,0.0217436934869521,0,0,3.20353804246889,20.7547356594186,"SERPINA11;SERPINA1;SERPINA10;SERPINE1;SERPINF2;FETUB;SERPING1;NRG1;SERPINB9;SERPINB8;SERPINA4","BP","Down",0.159420289855072,0.0217436934869521,11
"Cellular Response To Chemokine (GO:1990869)","10/59",0.00154183085416553,0.0217436934869521,0,0,3.44577651688478,22.3106610792677,"CCR1;CCL23;CXCL12;DUSP1;CCL4;CCL3;CCL2;PPBP;CXCL2;PF4","BP","Down",0.169491525423729,0.0217436934869521,10
"Metal Ion Transport (GO:0030001)","20/171",0.00154324871159632,0.0217436934869521,0,0,2.24434389140271,14.5295805595069,"CCR1;TRPC5;KCNJ10;KCND3;SLC41A2;KCNA3;KCNJ15;KCNK17;SLC5A1;SLC4A4;SLC9B2;TRPV6;NIPAL1;SCN11A;TRPV4;CCL3;SCN7A;KCNN2;NMUR1;SGK1","BP","Down",0.116959064327485,0.0217436934869521,20
"Aromatic Amino Acid Family Catabolic Process (GO:0009074)","4/10",0.00159051491554248,0.0217436934869521,0,0,11.2215283972643,72.3081341309082,"GSTZ1;QDPR;TAT;KMO","BP","Down",0.4,0.0217436934869521,4
"Positive Regulation Of Transforming Growth Factor Beta Production (GO:0071636)","4/10",0.00159051491554248,0.0217436934869521,0,0,11.2215283972643,72.3081341309082,"TNXB;SERPINF2;PTGS2;THBS1","BP","Down",0.4,0.0217436934869521,4
"Response To Corticosteroid (GO:0031960)","4/10",0.00159051491554248,0.0217436934869521,0,0,11.2215283972643,72.3081341309082,"IL10;IL1RN;IL6;GOT1","BP","Down",0.4,0.0217436934869521,4
"Regulation Of Cell Population Proliferation (GO:0042127)","63/766",0.0016063311697879,0.0217436934869521,0,0,1.53342816500711,9.86577392613638,"VIPR1;FLT3;CD81;HMGN5;ADAMTS1;MYC;NAMPT;JUNB;NKX3-1;IL10;KLF10;PDGFRA;KLF11;MAP2K1;CR1;IGFBP3;GLP2R;P3H2;NRG1;LIFR;AVPR1A;ECRG4;CBFA2T3;TMIGD3;AZGP1;SFRP1;GAREM1;SFRP5;IL1B;AGTR1;ATF5;IL6ST;SGK1;FXN;TSPYL5;CSF1R;LTK;CTF1;TNXB;PLG;GATA3;THBS1;ZFP36L1;SERTAD1;NTF3;CXCR2;HAS2;FGF23;WNT2;JUN;CCL23;TSLP;IGF1;INHBA;PODN;MYO16;BMP5;FOSL1;IL6;NR4A3;ID2;SCGB3A1;PF4","BP","Down",0.0822454308093995,0.0217436934869521,63
"L-phenylalanine Catabolic Process (GO:0006559)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"GSTZ1;QDPR;TAT","BP","Down",0.6,0.0217436934869521,3
"L-phenylalanine Metabolic Process (GO:0006558)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"GSTZ1;QDPR;TAT","BP","Down",0.6,0.0217436934869521,3
"Aspartate Metabolic Process (GO:0006531)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"GOT1;GOT2;ASS1","BP","Down",0.6,0.0217436934869521,3
"Detection Of Molecule Of Bacterial Origin (GO:0032490)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"EHHADH;SSC5D;TLR4","BP","Down",0.6,0.0217436934869521,3
"Erythrose 4-Phosphate/Phosphoenolpyruvate Family Amino Acid Catabolic Process (GO:1902222)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"GSTZ1;QDPR;TAT","BP","Down",0.6,0.0217436934869521,3
"Glyoxylate Metabolic Process (GO:0046487)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"GRHPR;AGXT2;HOGA1","BP","Down",0.6,0.0217436934869521,3
"Heterocycle Catabolic Process (GO:0046700)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"CYP2A6;GOT2;HOGA1","BP","Down",0.6,0.0217436934869521,3
"Inflammatory Response To Wounding (GO:0090594)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"IL6;HMOX1;TLR3","BP","Down",0.6,0.0217436934869521,3
"Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043569)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"CILP;BMP5;NKX3-1","BP","Down",0.6,0.0217436934869521,3
"Pteridine-Containing Compound Metabolic Process (GO:0042558)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"QDPR;GCH1;FTCD","BP","Down",0.6,0.0217436934869521,3
"Regulation Of cGMP-mediated Signaling (GO:0010752)","3/5",0.0016292104629993,0.0217436934869521,0,0,25.2312834224599,161.976254881347,"PDE11A;PDE2A;THBS1","BP","Down",0.6,0.0217436934869521,3
"Dicarboxylic Acid Metabolic Process (GO:0043648)","9/50",0.00169552015085001,0.0225419728867799,0,0,3.70456333595594,23.6342461470636,"GOT1;TAT;HAAO;SHMT1;MTHFD2L;GOT2;OGDHL;PCK1;ASS1","BP","Down",0.18,0.0225419728867799,9
"Very Long-Chain Fatty Acid Metabolic Process (GO:0000038)","7/32",0.00170280683224148,0.0225524416331219,0,0,4.72093023255814,30.0981835876105,"ACOX2;ACSL1;CYP4F2;ACOT2;ACAA1;SLC27A2;SLC27A5","BP","Down",0.21875,0.0225524416331219,7
"ERK1 And ERK2 Cascade (GO:0070371)","6/24",0.00175199872022554,0.0227694215699724,0,0,5.61721775394698,35.6524699449827,"DUSP5;MAP2K1;MYC;IGF1;DUSP6;ZFP36L1","BP","Down",0.25,0.0227694215699724,6
"Acylglycerol Catabolic Process (GO:0046464)","6/24",0.00175199872022554,0.0227694215699724,0,0,5.61721775394698,35.6524699449827,"LIPC;CPS1;APOC3;ABHD6;PNPLA5;APOA5","BP","Down",0.25,0.0227694215699724,6
"Iron Ion Transport (GO:0006826)","6/24",0.00175199872022554,0.0227694215699724,0,0,5.61721775394698,35.6524699449827,"STEAP3;SCARA5;TFR2;SLC41A2;CP;SLC39A14","BP","Down",0.25,0.0227694215699724,6
"Negative Regulation Of Ossification (GO:0030279)","6/24",0.00175199872022554,0.0227694215699724,0,0,5.61721775394698,35.6524699449827,"CCR1;SRGN;ECM1;SFRP1;CCL3;FGF23","BP","Down",0.25,0.0227694215699724,6
"Positive Regulation Of p38MAPK Cascade (GO:1900745)","6/24",0.00175199872022554,0.0227694215699724,0,0,5.61721775394698,35.6524699449827,"GADD45B;HAND2;IL1B;SORD;GDF6;GADD45G","BP","Down",0.25,0.0227694215699724,6
"Regulation Of Chemokine Production (GO:0032642)","8/41",0.00177392773715527,0.0229683927161521,0,0,4.08930848322075,25.9039663891432,"CSF1R;EGR1;IL33;IL6;TSLP;HMOX1;TLR4;TLR3","BP","Down",0.195121951219512,0.0229683927161521,8
"Positive Regulation Of Gene Expression (GO:0010628)","43/480",0.0017951006974984,0.02315613167405,0,0,1.67677028301687,10.6017056756404,"CRP;CITED2;CLEC9A;THBS1;LARP1B;EPB41L4B;C1QTNF1;HMGN5;MYC;CCL3;PPARGC1A;SLC38A2;FGF23;NKX3-1;IL10;EGR1;IL33;MAP2K1;NFAM1;GCGR;EPHX2;PDE2A;LILRB1;ANK3;IGF1;INHBA;KLF4;NR0B2;IL6;TFR2;HAND2;ID2;IL1B;SAA1;SPRY2;CPEB3;PLA2R1;BMPR1B;TLR4;MYD88;TLR3;PF4;RBMS3","BP","Down",0.0895833333333333,0.02315613167405,43
"Carboxylic Acid Biosynthetic Process (GO:0046394)","5/17",0.00195590617452366,0.0247951881743228,0,0,7.01748511904762,43.7673647041875,"CYP2C9;CYP2C8;CYP4A11;CYP4A22;RGN","BP","Down",0.294117647058824,0.0247951881743228,5
"Cellular Response To Glucocorticoid Stimulus (GO:0071385)","5/17",0.00195590617452366,0.0247951881743228,0,0,7.01748511904762,43.7673647041875,"ZFP36;KLF9;PCK1;ZFP36L1;PCK2","BP","Down",0.294117647058824,0.0247951881743228,5
"Positive Regulation Of Cardiac Muscle Hypertrophy (GO:0010613)","5/17",0.00195590617452366,0.0247951881743228,0,0,7.01748511904762,43.7673647041875,"BMP10;NR4A3;HAND2;IGF1;IL6ST","BP","Down",0.294117647058824,0.0247951881743228,5
"Triglyceride Biosynthetic Process (GO:0019432)","5/17",0.00195590617452366,0.0247951881743228,0,0,7.01748511904762,43.7673647041875,"MOGAT2;GPAT3;PCK1;LPIN2;PCK2","BP","Down",0.294117647058824,0.0247951881743228,5
"SMAD Protein Signal Transduction (GO:0060395)","9/51",0.00195789093941338,0.0247951881743228,0,0,3.61616743471582,22.5500130741293,"BMP10;JUN;ATOH8;GDF2;FOS;INHBA;GDF6;INHBC;BMP5","BP","Down",0.176470588235294,0.0247951881743228,9
"BMP Signaling Pathway (GO:0030509)","10/61",0.00199946284837618,0.0252295857595103,0,0,3.31029631583575,20.5730834775028,"TGFBR3;BMP10;AMHR2;HIVEP1;GDF2;SLC39A5;INHBA;GDF6;BMPR1B;INHBC","BP","Down",0.163934426229508,0.0252295857595103,10
"Positive Regulation Of Protein Kinase B Signaling (GO:0051897)","13/93",0.00206969367641945,0.0260211487578822,0,0,2.74657149280576,16.9747859384867,"RET;P2RY12;GATA3;IGF1;THBS1;AXL;FAM110C;CCL3;CASS4;SPRY2;TEK;FERMT2;TSPYL5","BP","Down",0.139784946236559,0.0260211487578822,13
"Cellular Response To Hypoxia (GO:0071456)","11/72",0.00218338041232801,0.0273229148552706,0,0,3.04550136857286,18.6594243345625,"FABP1;PLK3;SFRP1;PTGIS;MYC;HMOX1;NDNF;PTGS2;AQP3;NKX3-1;ZFP36L1","BP","Down",0.152777777777778,0.0273229148552706,11
"Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)","6/25",0.00219685684283012,0.0273229148552706,0,0,5.32129250740793,32.5701821731789,"CYP2C9;CYP2C8;GSTM1;CYP1A2;CYP2E1;CYP3A4","BP","Down",0.24,0.0273229148552706,6
"Negative Regulation Of Lipid Biosynthetic Process (GO:0051055)","6/25",0.00219685684283012,0.0273229148552706,0,0,5.32129250740793,32.5701821731789,"ACADL;ASXL3;ERLIN1;APOC3;SIK1;BMP5","BP","Down",0.24,0.0273229148552706,6
"Negative Regulation Of MAPK Cascade (GO:0043409)","14/105",0.00223830546656355,0.0277389998891983,0,0,2.6011216506266,15.8721384403121,"DUSP5;DUSP2;CD300A;DUSP1;SORL1;FOXO1;DUSP6;RPS6KA6;DUSP10;MYC;IL1B;SPRY2;TLR4;GBP1","BP","Down",0.133333333333333,0.0277389998891983,14
"Icosanoid Metabolic Process (GO:0006690)","9/52",0.00225166665488716,0.0278052786208485,0,0,3.53188297074269,21.530657392137,"CYP2J2;CYP2C9;CYP2C8;PTGIS;HPGD;CYP4F2;CYP4A22;CYP4A11;ABHD6","BP","Down",0.173076923076923,0.0278052786208485,9
"Phosphatidylinositol-Mediated Signaling (GO:0048015)","10/62",0.00226616057812431,0.0278270098647604,0,0,3.2464642980338,19.7698905759304,"PDGFRA;CSF1R;FCGR3A;LTK;CD160;PIK3C2G;GATA3;IGF1;MYO16;ZFP36L1","BP","Down",0.161290322580645,0.0278270098647604,10
"Vascular Transport (GO:0010232)","12/83",0.00226946506966202,0.0278270098647604,0,0,2.85547245738582,17.3847191890132,"SLC7A8;SLCO2B1;SLC1A1;SLC22A1;ABCC9;AVPR1A;SLC5A1;SLC16A2;SLC4A4;SLC38A2;SLC7A2;MFSD2A","BP","Down",0.144578313253012,0.0278270098647604,12
"Aspartate Family Amino Acid Catabolic Process (GO:0009068)","4/11",0.00238861305695943,0.0285809907160318,0,0,9.61794316299223,58.0639306024844,"GOT1;GOT2;MAT1A;ASPA","BP","Down",0.363636363636364,0.0285809907160318,4
"Catecholamine Biosynthetic Process (GO:0042423)","4/11",0.00238861305695943,0.0285809907160318,0,0,9.61794316299223,58.0639306024844,"GCH1;TH;DBH;GATA3","BP","Down",0.363636363636364,0.0285809907160318,4
"Complement Receptor Mediated Signaling Pathway (GO:0002430)","4/11",0.00238861305695943,0.0285809907160318,0,0,9.61794316299223,58.0639306024844,"CR1;C5AR1;FPR1;FPR2","BP","Down",0.363636363636364,0.0285809907160318,4
"Macrophage Chemotaxis (GO:0048246)","4/11",0.00238861305695943,0.0285809907160318,0,0,9.61794316299223,58.0639306024844,"EDNRB;CCL3;SAA1;CCL2","BP","Down",0.363636363636364,0.0285809907160318,4
"Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:1902548)","4/11",0.00238861305695943,0.0285809907160318,0,0,9.61794316299223,58.0639306024844,"SORD;SPRY2;NRG1;DCN","BP","Down",0.363636363636364,0.0285809907160318,4
"Positive Regulation Of Platelet Aggregation (GO:1901731)","4/11",0.00238861305695943,0.0285809907160318,0,0,9.61794316299223,58.0639306024844,"IL6;MMRN1;GP6;IL6ST","BP","Down",0.363636363636364,0.0285809907160318,4
"Regulation Of Leukocyte Tethering Or Rolling (GO:1903236)","4/11",0.00238861305695943,0.0285809907160318,0,0,9.61794316299223,58.0639306024844,"SELP;CXCL12;CHST4;SELE","BP","Down",0.363636363636364,0.0285809907160318,4
"Intracellular Monoatomic Cation Homeostasis (GO:0030003)","21/190",0.00241229234398719,0.0287651355107751,0,0,2.10544764599949,12.6899073183721,"CCR1;ALAS2;CCL23;SCARA5;GDF2;PTH1R;CP;SLC39A14;SLC8A1;MT2A;CXCL12;TFR2;MYC;TRPV4;RGN;CCL3;ATP13A4;SLC39A5;HMOX1;HAMP;FXN","BP","Down",0.110526315789474,0.0287651355107751,21
"Heart Trabecula Morphogenesis (GO:0061384)","5/18",0.00258394480892634,0.0306016671910389,0,0,6.47733516483517,38.5948003221295,"TGFBR3;BMP10;NRG1;TEK;BMP5","BP","Down",0.277777777777778,0.0306016671910389,5
